year,state,Auto,Bus,Truck,Motorcycle
1926,Montana,89278.0,0.0,16074.0,203.0
1926,Nebraska,338347.0,0.0,29617.0,1268.0
1926,Nevada,19470.0,0.0,4990.0,82.0
1926,New Hampshire,78505.0,0.0,10866.0,1444.0
1926,New Jersey,530408.0,4039.0,123133.0,7235.0
1926,New Mexico,47809.0,80.0,7880.0,205.0
1926,New York,1508445.0,4150.0,316048.0,18303.0
1926,North Carolina,353622.0,0.0,36096.0,870.0
1926,North Dakota,145620.0,0.0,12364.0,305.0
1926,Ohio,1298138.0,0.0,192323.0,12408.0
1926,Oklahoma,450809.0,0.0,51873.0,719.0
1926,Oregon,206668.0,0.0,29903.0,2215.0
1926,Pennsylvania,1268173.0,1368.0,197155.0,14609.0
1926,Rhode Island,91723.0,365.0,19332.0,1353.0
1926,South Carolina,163190.0,888.0,18872.0,270.0
1926,South Dakota,154140.0,0.0,15016.0,249.0
1926,Tennessee,254263.0,914.0,26751.0,751.0
1926,Texas,946476.0,920.0,111125.0,2679.0
1926,Utah,73052.0,0.0,13036.0,576.0
1926,Vermont,68506.0,93.0,5718.0,606.0
1926,Virginia,274707.0,475.0,51466.0,2596.0
1926,Washington,311021.0,645.0,55689.0,2893.0
1926,West Virginia,201956.0,430.0,27146.0,1273.0
1926,Wisconsin,582401.0,553.0,82530.0,3183.0
1926,Wyoming,44516.0,0.0,5864.0,179.0
1927,Alabama,211091.0,824.0,32519.0,420.0
1927,Alaska,0.0,0.0,0.0,0.0
1927,Arizona,72051.0,479.0,9736.0,271.0
1927,Arkansas,174595.0,149.0,32708.0,324.0
1927,California,1491301.0,0.0,224330.0,9905.0
1927,Colorado,229910.0,0.0,39875.0,1362.0
1927,Connecticut,238711.0,629.0,44272.0,3364.0
1927,Delaware,38177.0,0.0,9446.0,313.0
1927,District of Columbia,98360.0,581.0,15013.0,1363.0
1927,Florida,334033.0,0.0,63460.0,1449.0
1927,Georgia,263404.0,0.0,39946.0,909.0
1927,Hawaii,0.0,0.0,0.0,0.0
1927,Idaho,91738.0,0.0,10994.0,440.0
1927,Illinois,1255750.0,0.0,188834.0,6135.0
1927,Indiana,697897.0,4302.0,115828.0,3501.0
1927,Iowa,650292.0,0.0,56939.0,1787.0
1927,Kansas,448083.0,0.0,56462.0,1218.0
1927,Kentucky,256000.0,522.0,31097.0,752.0
1927,Louisiana,217050.0,0.0,40367.0,510.0
1927,Maine,133151.0,138.0,31647.0,1311.0
1927,Maryland,239366.0,695.0,38763.0,2415.0
1927,Massachusetts,607110.0,1404.0,88905.0,7245.0
1927,Michigan,1000759.0,0.0,160683.0,3585.0
1927,Minnesota,565614.0,384.0,82820.0,2295.0
1927,Mississippi,196622.0,0.0,22708.0,83.0
1927,Missouri,610881.0,0.0,73543.0,1838.0
1927,Montana,95219.0,0.0,19104.0,165.0
1927,Nebraska,342748.0,0.0,32480.0,1109.0
1927,Nevada,20591.0,0.0,5664.0,99.0
1927,New Hampshire,83497.0,0.0,12854.0,1387.0
1927,New Jersey,584980.0,4731.0,129882.0,7770.0
1927,New Mexico,51323.0,83.0,8799.0,170.0
1927,New York,1624974.0,4204.0,323378.0,17609.0
1927,North Carolina,391861.0,137.0,44481.0,1194.0
1927,North Dakota,144921.0,0.0,16086.0,277.0
1927,Ohio,1377889.0,0.0,204439.0,7749.0
1927,Oklahoma,438703.0,0.0,67467.0,1200.0
1927,Oregon,212965.0,925.0,32138.0,2030.0
1927,Pennsylvania,1357993.0,1638.0,206896.0,14267.0
1927,Rhode Island,98830.0,361.0,19613.0,1337.0
1927,South Carolina,179177.0,978.0,21502.0,325.0
1927,South Dakota,153404.0,0.0,17368.0,229.0
1927,Tennessee,269113.0,1095.0,27541.0,904.0
1927,Texas,997984.0,973.0,121641.0,3081.0
1927,Utah,80921.0,0.0,13862.0,531.0
1927,Vermont,73280.0,114.0,6434.0,601.0
1927,Virginia,289600.0,560.0,51668.0,2278.0
1927,Washington,327467.0,616.0,61100.0,2645.0
1927,West Virginia,217932.0,587.0,29251.0,1431.0
1927,Wisconsin,610296.0,550.0,91147.0,3042.0
1927,Wyoming,45719.0,0.0,6788.0,134.0
1928,Alabama,235137.0,1250.0,35179.0,611.0
1928,Alaska,0.0,0.0,0.0,0.0
1928,Arizona,85941.0,541.0,9356.0,281.0
1928,Arkansas,181322.0,203.0,34448.0,369.0
1928,California,1598520.0,0.0,229172.0,9598.0
1928,Colorado,243109.0,0.0,43164.0,1234.0
1928,Connecticut,261355.0,666.0,50149.0,2665.0
1928,Delaware,41346.0,0.0,10420.0,345.0
1928,District of Columbia,112737.0,600.0,15664.0,1292.0
1928,Florida,297516.0,0.0,58150.0,1360.0
1928,Georgia,278673.0,0.0,42981.0,1078.0
1928,Hawaii,0.0,0.0,0.0,0.0
1928,Idaho,97389.0,0.0,12205.0,424.0
1928,Illinois,1315389.0,0.0,195076.0,5826.0
1928,Indiana,707180.0,6019.0,115678.0,3124.0
1928,Iowa,673532.0,0.0,63398.0,1728.0
1928,Kansas,472718.0,0.0,63843.0,1259.0
1928,Kentucky,272559.0,754.0,33144.0,808.0
1928,Louisiana,224621.0,0.0,42329.0,625.0
1928,Maine,139726.0,130.0,34272.0,1294.0
